,geneID,genename,moduleColor,GS.Mass_min,p.GS.Mass_min,MM.blue,p.MM.blue,MM.greenyellow,p.MM.greenyellow,MM.pink,p.MM.pink,MM.tan,p.MM.tan,MM.magenta,p.MM.magenta,MM.black,p.MM.black,MM.brown,p.MM.brown,MM.yellow,p.MM.yellow,MM.grey,p.MM.grey
927,ENSGALG00010004340,SLC4A4,black,-0.023235684,0.916190193,0.220823452,0.311278079,0.169755582,0.438715344,-0.286695891,0.184735598,0.092281594,0.67537534,0.354040871,0.097434762,0.785889941,8.82E-06,0.189772015,0.385788058,-0.467667454,0.024432134,0.381155967,0.072739383
540,ENSGALG00010002600,TRPA1,black,0.086617924,0.694334778,0.178919186,0.414021357,-0.064074674,0.771469551,-0.395649824,0.061658968,-0.04774634,0.828725278,0.131086062,0.551048239,0.786063784,8.75E-06,0.156610832,0.47546447,-0.652135047,0.000746207,0.10457912,0.634872297
2704,ENSGALG00010011342,RASAL2,black,-0.249960647,0.250022931,0.558005698,0.005659602,0.557699047,0.005691695,-0.092801636,0.673643792,0.298905124,0.165907737,0.434105282,0.038481557,0.786205903,8.70E-06,0.540550736,0.00774463,-0.360915208,0.09065776,0.540529253,0.007747542
1240,ENSGALG00010005508,SS18,black,-0.481439359,0.020021476,0.746026318,4.37E-05,0.489765845,0.017683235,-0.361009141,0.090567657,0.255384778,0.239551074,0.587614714,0.003194171,0.786430712,8.61E-06,0.426309872,0.042512377,-0.171086884,0.435079913,0.473445153,0.022495459
8430,ENSGALG00010029783,RAD51C,black,-0.214169377,0.326449627,0.299254365,0.165389655,0.084780682,0.700523966,-0.638146138,0.001051284,0.013888025,0.949851635,0.273727879,0.206283501,0.786936488,8.42E-06,-0.005738053,0.979269929,-0.73487104,6.50E-05,0.076354529,0.72914073
7275,ENSGALG00010025890,SCG2,black,-0.18849593,0.389049953,0.413052194,0.050118946,0.094957294,0.6664834,-0.429274282,0.040942343,0.042711215,0.846566916,0.432954397,0.039056946,0.787017628,8.39E-06,0.419682624,0.046192795,-0.417039149,0.047728287,0.143443179,0.513784675
6642,ENSGALG00010024038,NKD1,black,-0.320296784,0.136222704,0.628179121,0.001328818,0.578730147,0.003813528,-0.442552382,0.034459813,0.281367193,0.19339462,0.587954271,0.003172293,0.787128003,8.35E-06,0.391315856,0.06482677,-0.229347098,0.292485053,0.48220467,0.019796657
3151,ENSGALG00010012824,HIBCH,black,-0.247392388,0.255082939,0.589188457,0.003093837,0.285869906,0.186060087,-0.027810337,0.899763735,0.213940436,0.326979407,0.062281688,0.777706272,0.787171954,8.33E-06,0.354044081,0.097431511,-0.464430325,0.02557431,0.378020779,0.075323025
3883,ENSGALG00010015386,SLC24A4,black,-0.210352629,0.335349208,0.50520065,0.013935655,0.266469185,0.21905413,-0.198523923,0.363837133,0.262845288,0.225622444,0.188187652,0.38984029,0.787179435,8.33E-06,0.256831139,0.236807865,-0.526477919,0.00985719,0.319881944,0.136759472
2170,ENSGALG00010009348,ERGIC2,black,-0.096507039,0.661352955,0.310955752,0.148677924,-0.020880603,0.924660078,-0.340222609,0.112180704,0.03305781,0.880970601,0.098453197,0.654931014,0.787585369,8.18E-06,0.124407453,0.571686403,-0.70553675,0.000169462,0.061015824,0.782117483
